36
63.138	-9.82884	-116.324
91.87	11.5985	-82.6565
84.7132	0	-102.316
91.6057	-11.2642	-82.5119
24.3265	0	-136.647
26.5209	-11.4793	-131.18
63.3009	10.1133	-116.553
54.3323	0	-126.047
-26.5264	11.4468	-131.143
-24.3415	0	-136.647
-26.5359	-11.482	-131.177
26.5398	11.5498	-131.248
-91.6208	-11.2642	-82.5119
-63.3261	10.1311	-116.568
-54.2531	0	-126.192
-63.153	-9.82884	-116.324
-84.8294	53.9538	-76.8205
-88.8354	43.0589	-71.9767
-91.9085	11.6282	-82.6694
-84.7283	0	-102.316
-57.8759	73.7184	-89.574
-54.38	68.7896	-100.641
-56.6841	57.8375	-100.783
-89.2019	54.5563	-62.4398
20.3585	64.7934	-113.568
-21.4879	82.2921	-101.282
-19.3525	76.3443	-111.838
-20.3736	64.7934	-113.568
54.3646	68.7545	-100.663
56.669	57.8375	-100.783
21.7073	82.2536	-101.638
19.3358	76.3219	-111.823
88.7441	55.1987	-63.5358
84.8139	53.8091	-76.9059
88.8204	43.0589	-71.9767
57.5055	74.0413	-89.6207

